"","X1","X2","city1","city2","lon1","lat1","lon2","lat2","Route","Haversine"
"1","TIA","VIE","Tirana","Wien",19.8186982,41.3275459,16.3738189,48.2081743,"TIA-VIE",812673.424548448
"2","ALG","VIE","Algiers","Wien",3.0587561,36.753768,16.3738189,48.2081743,"ALG-VIE",1674621.54723149
"3","LAD","VIE","Luanda","Wien",13.2894368,-8.8399876,16.3738189,48.2081743,"LAD-VIE",6357820.43464235
"4","AEP","VIE","Buenos Aires","Wien",-58.3815591,-34.6036844,16.3738189,48.2081743,"AEP-VIE",11823352.2055605
"5","SYD","VIE","Sydney","Wien",151.2092955,-33.8688197,16.3738189,48.2081743,"SYD-VIE",15993613.4996954
"6","MEL","VIE","Melbourne","Wien",144.9630576,-37.8136276,16.3738189,48.2081743,"MEL-VIE",15781325.8223433
"7","INN","VIE","Innsbruck","Wien",11.4041024,47.2692124,16.3738189,48.2081743,"INN-VIE",386375.569409285
"8","KLU","VIE","Klagenfurt","Wien",14.3122246,46.6364598,16.3738189,48.2081743,"KLU-VIE",233909.52023513
"9","BGI","VIE","Barbados","Wien",-59.543198,13.193887,16.3738189,48.2081743,"BGI-VIE",7886912.23903745
"10","BRU","VIE","Brussels","Wien",4.3517211,50.8503463,16.3738189,48.2081743,"BRU-VIE",915829.732759338
"11","CRL","VIE","Brussels","Wien",4.3517211,50.8503463,16.3738189,48.2081743,"CRL-VIE",915829.732759338
"12","LGG","VIE","Liege","Wien",5.5796662,50.6325574,16.3738189,48.2081743,"LGG-VIE",826013.819369808
"13","GRU","VIE","São Paulo","Wien",-46.6333094,-23.5505199,16.3738189,48.2081743,"GRU-VIE",10150249.9722343
"14","SOF","VIE","Sofia","Wien",23.3218675,42.6977082,16.3738189,48.2081743,"SOF-VIE",818266.179396022
"15","VAR","VIE","Varna","Wien",27.9147333,43.2140504,16.3738189,48.2081743,"VAR-VIE",1053727.52162005
